basin_id,in_mswep,candidate_rank
05385500,no,2439
05387440,no,2440
05387500,no,2441
05388250,no,2442
05389000,no,2443
05393500,no,2446
05418400,no,2473
05420680,no,2477
05421000,no,2478
05421740,no,2479
05422000,no,2480
05422600,no,2482
05438283,no,2514
05449500,no,2526
05455100,no,2543
05455500,no,2544
05455700,no,2545
05457000,no,2546
05457700,no,2547
05458300,no,2549
05458500,no,2550
05458900,no,2551
05459500,no,2552
05462000,no,2553
05463000,no,2554
05463500,no,2555
05473450,no,2574
05476500,no,2577
05476750,no,2578
05479000,no,2579
05480500,no,2580
05481000,no,2581
05481300,no,2582
05482300,no,2587
05482500,no,2588
05483450,no,2589
05483600,no,2590
05484000,no,2591
05484650,no,2593
05484800,no,2594
05484900,no,2595
05485500,no,2596
05485605,no,2597
05485640,no,2598
05486000,no,2599
05486490,no,2600
05487470,no,2601
05487980,no,2603
05488110,no,2604
05488200,no,2605
05488500,no,2606
05489000,no,2607
05489500,no,2608
05490500,no,2609
05494300,no,2610
05495000,no,2611
05496000,no,2613
05497150,no,2615
05498150,no,2617
05498700,no,2618
05500000,no,2619
05501000,no,2620
05502300,no,2621
05503800,no,2623
05506100,no,2625
05506350,no,2626
05506800,no,2628
05507600,no,2629
05507800,no,2630
05508000,no,2631
05508805,no,2632
05514500,no,2633
06026210,no,2769
06076690,no,2795
06077200,no,2796
06077500,no,2797
06088500,no,2802
06089000,no,2803
06099000,no,2808
06099500,no,2809
06102050,no,2811
06102500,no,2812
06119600,no,2816
06120500,no,2817
06123030,no,2818
06133500,no,2826
06177500,no,2836
06187915,no,2841
06195600,no,2848
06209500,no,2855
06211000,no,2856
06211500,no,2857
06228350,no,2865
06235500,no,2866
06236100,no,2867
06289000,no,2884
06294000,no,2890
06295113,no,2891
06306300,no,2902
06307500,no,2903
06307616,no,2905
06308500,no,2908
06309200,no,2909
06331000,no,2927
06332000,no,2928
06332515,no,2929
06332523,no,2930
06332770,no,2931
06334500,no,2932
06335500,no,2933
06336000,no,2934
06336600,no,2935
06337000,no,2936
06339100,no,2937
06339500,no,2938
06340000,no,2939
06340500,no,2940
06342260,no,2941
06342450,no,2942
06343000,no,2943
06344600,no,2944
06345500,no,2945
06345780,no,2946
06347000,no,2947
06347500,no,2948
06348300,no,2949
06348500,no,2950
06349000,no,2951
06349600,no,2952
06350000,no,2953
06351200,no,2954
06352000,no,2955
06353000,no,2956
06354000,no,2957
06354580,no,2958
06355500,no,2960
06356500,no,2962
06357800,no,2963
06360500,no,2965
06386500,no,2967
06392900,no,2968
06395000,no,2971
06400875,no,2973
06402430,no,2976
06402600,no,2978
06403700,no,2980
06404000,no,2981
06406000,no,2982
06408650,no,2983
06408700,no,2984
06409000,no,2985
06422500,no,2986
06423500,no,2987
06425500,no,2989
06428500,no,2996
06429500,no,2997
